Comment ID,Comment,Clean_Comment,Aspect,Sentiment,BIO_Tags
UgwmMFzS4470EQB72Zp4AaABAg,"Efisiensi di mna2 dana desa di pangkas dana ke daerah2 di pangkas,,<br>Dan akhir nya semua anggaran Hanya berfokus ke ke pusat.<br>Tak ada lagi pembangunan di desa2 akibat MBG dan kopdes..",efisiensi mna dana desa pangkas dana daerah pangkas akhir nya semua anggar fokus ke pusat tak lagi bangun desa akibat makan gizi gratis kopdes,,negative,
UgyitPLKY2rGwKHK4x94AaABAg,"mau dijilat bagaimanapun mbg &amp; kopdes udh 90% gagal<br>1. narasi positif terbuka lapangan pekerjaan itu cuma semu, kenapa?karena disisi lain jg banyak yg kehilangan pekerjaannya<br>contoh itu bahan baku dari petani jg lngsg ke pemilik sppg,supplay ke pasar tradisional jd berkurang,lalu pedagang di sekolah juga jadi sepi sejak ada mbg,disisi kopdes jg cuma 11 12 seperti alfamart mana itu gaji karyawan pakai apbn,coba hitung biaya pembangunan,modal,gaji karyawan akan tertutup berapa puluh tahun dari profit kopdes?iya kalau profit kalau rugi?pajak rakyat cuma dihambur2kan kg jelas",mau jilat makan gizi gratis amp kopdes udh gagal narasi positif buka lapang kerja cuma semu kenapakarena sisi jg banyak hilang kerja contoh bahan baku tani jg lngsg milik sppgsupplay pasar tradisional jd berkuranglalu dagang sekolah jadi sepi sejak mbgdisisi kopdes jg cuma alfamart mana gaji karyawan pakai apbncoba hitung biaya pembangunanmodalgaji karyawan tutup berapa puluh tahun profit kopdesiya kalau profit kalau rugipajak rakyat cuma hambur kg jelas,,negative,
UgyiH_yaUyuQ63g7zp14AaABAg,"Seperti biasa, Indonesia itu kemampuan afrika, berlagak Amerika.",biasa indonesia mampu afrika lagak amerika,,negative,
Ugwf7oBWKQrSshSDCc94AaABAg,"Apa benar MBG 13&gt;15k dari presiden, tapi porsi 8&gt;10k ke siswa ,krn yg 5k untuk biaya operasional dapur dan lain² pak??",apa benar makan gizi gratis gtk presiden porsi gtk siswa krn k biaya operasional dapur lain pak,,negative,
UgwP7Cl1ow7sY0ck0fh4AaABAg,embege program korupsi besar&quot;an secara terstruktur,embege program korupsi besarquotan struktur,,negative,
UgzQ9eBRreKLGsDE1N14AaABAg,Pejabat indo isi nya koruptor sama Tuhan Aja gak takut,jabat indo isi nya koruptor sama tuhan aja gak takut,,negative,
Ugw6Aul-9c2N7xVJPKd4AaABAg,"13 - 15rb jangan di korupsi..<br>di lapangan daerah sini rasanya pengen berkata kasar pak Gema  😂😂<br>porsi balita itu 8rb/porsi<br>daerah saya, 1 minggu dibagi 2x MBG untuk balita, <br>sering banget kalo di hitung2, anggaran 1x ngasih cuma 8rb, 8rb untuk 3 atau 2 hari loh, coba.. <br>saya gak liat data, tapi meyakini di daerah lain pun banyak yang seperti ini, <br>deym mantap pa Gema",rb jangan korupsi lapang daerah sini rasa ken kata kasar pak gema porsi balita rbporsi daerah minggu bagi x makan gizi gratis balita sering banget kalo hitung anggar x ngasih cuma rb rb atau hari loh coba gak liat data yakin daerah pun banyak seperti deym mantap pa gema,,negative,
UgyI3zc3J1u60STnbB54AaABAg,percuma ngomong KLO karop TDK dihukum mati bosen ngomong,percuma ngomong klo karop tdk hukum mati bosen ngomong,,negative,
UgytGCHfxwiGQqNVDX54AaABAg,"MBG merugikan negara TPI Prabowo Mlah mempertahankan ,perlu di slidiki apakah prabwo ikut miliki sppg dpur ap ga,yg jelass Prabowo sumber korupsi dimna mna",makan gizi gratis rugi negara tpi prabowo mlah tahan perlu slidiki prabwo ikut milik sppg dpur ap gayg jelass prabowo sumber korupsi dimna mna,,negative,
Ugw8sZ0skdW7OYsgtUN4AaABAg,Dapur itu yg bikin ricuh.,dapur yang bikin ricuh,,negative,
Ugw-3wpDnnjKigx50Tx4AaABAg,Tdk perlu MBG!!!Yang perlu uang!!!,tdk perlu mbgyang perlu uang,,negative,
Ugw-6irYt0UrLEC17c54AaABAg,"dari sekian banyak masalah di program MBG yang dari semua lini bisa dikorupsi oleh para oknum, dan bisa terulang lagi secara BERJAMAAH, seperti kemaren... MBGnya harus tetap jalan, tapi di berikan kepada anak-anak ekonomi menengah kebawah dan diserahkan langsung kepada orang tua masing-masing, tentunya dengan sanksi yg tegas untuk para orang tua.",sekian banyak masalah program makan gizi gratis dari semua lini korupsi para oknum bisa ulang cara jamaah kemaren mbgnya tetap jalan di ikan anakanak ekonomi tengah bawah serah langsung orang tua masingmasing tentu sanksi tegas para orang tua,,negative,
UgwLhK7aYfumMnHe4CB4AaABAg,"Bagaimana kalau Indonesia belajar mengelola MBG ke India yang terukur..<br>Memang MBG itu ada plus minusnya..sayuran , telur, daging diserap MBG , di pasar semua harganya naik alasannya barang langka karena diserap MBG",bagaimana kalau indonesia ajar kelola makan gizi gratis india ukur memang makan gizi gratis ada plus minusnyasayuran telur daging serap makan gizi gratis pasar semua harga naik alas barang langka serap makan gizi gratis,,negative,
Ugwy8gV5LKZlZwXOy814AaABAg,Yg ngludahin yg songong,ngludahin songong,,negative,
Ugycud0p5b-CQTCQiTZ4AaABAg,"MBG gak layak sih.. mendukung MBG itu sama aja mendukung para pengusaha, dan mematikan umkm modal kecil",makan gizi gratis gak layak sih dukung makan gizi gratis sama aja dukung usaha mati umkm modal kecil,,negative,
Ugx-F6AD8SOBDmGoKHZ4AaABAg,"Hapus mbg alihkan ke bpjs gratis, hapuskan uang sekolah sampai S3 dengan seluruh buku dan seragam seragamnya. Lebih mulia",hapus makan gizi gratis alih bpjs gratis hapus uang sekolah s seluruh buku seragam seragam lebih mulia,,negative,
UgxOfRt20lwGvtpHNtd4AaABAg,"Mungkin bisa dari akar permasalahan kenapa MBG itu diadakan. Apakah diperlukan solusi seperti MBG (1 porsi per hari) untuk menyelesaikan masalah kurangnya akses terhadap makanan bergizi pada anak dan ibu hamil, atau masalah tentang malnutrisi ini adalah soal edukasi makanan bergizi untuk masyarakat?",mungkin dari akar masalah makan gizi gratis ada perlu solusi makan gizi gratis porsi per hari selesai masalah kurang akses makan gizi anak ibu hamil masalah malnutrisi adalah soal edukasi makan gizi masyarakat,,negative,
Ugz96BQy4oMfE_ZYgzF4AaABAg,"Program MBG (Pengeluaran anggaran total 339 Triliun) menghabiskan dana sekitar  201 Triliun (537 hari sudah terpakai) sejak januari 2025 sampe sekarang, sisa anggaran 138 Trilliun. Dengan rincian :<br>1. Penerima manfaat sekitar 61 juta lebih (15.000 per porsi)<br>2. Perharinya menghabiskan dana 374 Miliar.<br><br>Timbul pertanyaan :<br>Mengapa pemerintah memberlakukan program MBG yg banyak menghabiskan dana ratusan trilliun ? Bukankah sebaiknya dana anggaran sebesar itu di gunakan untuk anggaran pendidikan, kesehatan dll.<br>Dan yg lebih parah lagi, telah terbukti adanya kasus korupsi di program MBG ini.  BBM naik, kebutuhan pokok naik, rakyat semakin terjepit dgn membayar pajak sementara para pejabat negara menerima gaji menikmati fasilitas dan menerima tunjangan hingga ratusan juta. IRONI DI NEGERI YG SUMBER DAYA ALAMNYA MELIMPAH INI.",program makan gizi gratis keluar anggar total triliun habis dana triliun hari pakai sejak januari sampe sekarang sisa anggar trilliun rincian terima manfaat juta lebih per porsi hari habis dana miliar timbul tanya perintah laku program makan gizi gratis banyak habis dana ratus trilliun bukankah baik dana anggar besar guna anggar didik sehat lebih parah telah bukti ada kasus korupsi program makan gizi gratis bbm naik butuh pokok naik rakyat makin jepit dgn bayar pajak para jabat negara terima gaji nikmat fasilitas dan terima tunjang hingga ratus juta ironi di negeri sumber daya alam limpah,,negative,
Ugwx0qD3F-7X4VvP36d4AaABAg,"banyak yg bilang objektif 😢 , saya bilang bukan sektor kamu pak gema bahas ini, terlalu permukaan dan terlihat tak banyak memahami lebih dalam tentang mbg, hanya demi konten $$$$ , ini konten untuk muasin sektor penggemar setia aja 🙏🏽🙏🏽",banyak bilang objektif bilang bukan sektor kamu pak gema bahas terlalu muka lihat tak banyak paham lebih tentang makan gizi gratis demi konten konten muasin sektor gemar setia aja,,negative,
Ugx1EWslKV5FjZ_yaUt4AaABAg,Gak usa dibanggakan dgn MBG bang. Mending diTutup aja MBG gak berguna sama sekali.  Perbaiki untuk negara saat ini 😡😡🤮,gak usa bangga dgn makan gizi gratis bang mending tutup aja makan gizi gratis gak guna sama sekali baik negara ini,,negative,
UgwoAbCPzOYanLwl7QB4AaABAg,Naah ginii inii pola pikir profesor SMA mahasiswa yg blum lulus pasti berbeda .... Pengalaman itu penting untuk membaca arah pergerakan bangsa,naah ginii ini pola pikir profesor sma mahasiswa blum lulus beda alam penting baca arah gera bangsa,,negative,
UgxjBqp5wgaw5beVU4Z4AaABAg,"MBG itu baik dan program ini udah diimplementasikan di luar negeri dan berhasil. Sangat disayangkan saja, harusnya konsepnya adalah pembuatan dapur di Sekolah tersebut. Bukan 1 dapur yang cukup jauh dari lokasi dan dapur2 yang dibentuk dapur karbitan.",makan gizi gratis baik program udah implementasi luar negeri hasil sangat sayang harus konsep buat dapur sekolah sebut bukan dapur cukup jauh lokasi dapur bentuk dapur karbitan,,negative,
Ugyc6LzCmBcdSTee8Yp4AaABAg,msg harus tetap berjalan kalo mbg dihapus rakyat akan sedih dań mara,msg tetap jalan kalo makan gizi gratis hapus rakyat sedih da mara,,negative,
UgzeduBnCiMJXZaK3lp4AaABAg,bener bang tata kelola nya harus di perbaiki,bener bang tata kelola nya di baik,,negative,
UgzC60HGkiNWcOQ-OP14AaABAg,MBG LANJUTKAN KORUPTOR HUKUM MISKINKAN SAMPAI 7 TURUNAN,makan gizi gratis lanjut koruptor hukum miskin turun,,negative,
UgwIg3_w51-DP_W07Fh4AaABAg,Betul itu prof suplayer ke mbg itu coba di cek soalnya saya kan kerja di pasar induk yang ada di medan masak yang pemasuk mbg itu minta nota nya 2 trus di tambahin lagi harganya,betul prof suplayer makan gizi gratis coba cek soal kan kerja pasar induk ada medan masak masuk makan gizi gratis minta nota nya trus tambahin harga,,negative,
UgzJopW_wF8-kGbNowV4AaABAg,Terus Cerdas rakyat sdm rendah ini prof😂,terus cerdas rakyat sdm rendah prof,,negative,
UgwlK_rGa07ZdYeUMeF4AaABAg,"MBG tidak mewakili makanan bergizi.  Bgm topingnya cuma telur tahu&amp;tempe itupun dimasak cm goreng.  Hampir tidak pernah ikan, apalagi udang, apalagi daging sapi.  Anggaran MBG memangkas dana pendidikan, memangkas dana pembangunan gedung sekolah, penyebab PHK guru honorer, penyebab inflasi meningkat padahal makanan MBG banyak terbuang.  Padahal Alfamart Indomaret bisa menjual makanan Rp.15.000 enak lagi. <br><br>Yg disyukuri dari MBG banyak menyerap tenaga kerja.  Klo menyerap hasil petani? Omong kosong! Semuanya harus lewat calo.  Petani jual ke tengkulak tengkulak yg jual ke MBG.  Harga jual di petani tetap gitu gitu aja.<br><br>Usul: di daerah Jawa &amp; Sumatera cukup SD saja.  Kalimantan&amp;Sulawesi SD sampai SMP.  Nah untuk Papua&amp;NTT diberi SD-SMA.<br><br>Usul: Setelah 1 tahun dapur MBG kembalikan di Sekolah tapi yg ngelola pihak ketiga.  Macam mall tp ngelola parkir pihak ketiga.  Makanan disediakan prasmanan bukan kotak.  Sekali lagi dapur harus di sekolah.  Yg rekrut koki dan petugas harus dari pihak lain",makan gizi gratis wakil makan gizi bgm topingnya cuma telur tahuamptempe itu masak cm goreng hampir pernah ikan udang daging sapi anggar makan gizi gratis mangkas dana didik mangkas dana bangun gedung sekolah sebab phk guru honorer sebab inflasi tingkat padahal makan makan gizi gratis banyak buang padahal alfamart indomaret jual makan rp enak syukur makan gizi gratis banyak serap tenaga kerja klo serap hasil tani omong kosong semua lewat calo tani jual tengkulak tengkulak jual makan gizi gratis harga jual tani tetap gitu gitu aja usul daerah jawa amp sumatera cukup sd kalimantanampsulawesi sd smp nah papuaampntt beri sdsma usul tahun dapur makan gizi gratis kembali sekolah yang ngelola pihak tiga macam mall ngelola parkir pihak tiga makan sedia prasmanan bukan kotak sekali dapur di sekolah yang rekrut koki tugas dari pihak,,negative,
Ugw4-iRxQxfigylpXs54AaABAg,"MBG MEMBUAT KOROPTOR BERANAK PINAK, BUBARKAN MBG, BUANG KE NUSAKAMBANGAN, MISKINKAN KOROOTORNYA 😅😅😅",makan gizi gratis buat koroptor anak pinak bubar makan gizi gratis buang nusakambangan miskin korootornya,,negative,
UgwKhyHfxLIKniU1gkF4AaABAg,"DPR Dan, KETUA PARTAI,,  RAKYAT KECIL LBIH SUKA PERAMPASAN ASET untuk,,  para, KORUPTOR,,",dpr ketua partai rakyat kecil lbih suka ampas aset para koruptor,,negative,
UgyUXzSbN07HxE14ZVF4AaABAg,lkalau g ada untung y g ada yg mau ....,lkalau g untung y g yang mau,,negative,
UgwE2gE494Bzb9TofZR4AaABAg,"Bagai mana para pedagang di mana bergizi nya.bukannfibhentikan di apih pungsikanmmenjadi penerimndgn di uangkan.bapa....baro² mendorong .malah bikin susah ,bp kata siapa ,dannkwnapa tidak di pikirkan para pedagang bap jgn ngomong",bagai mana dagang mana gizi nyabukannfibhentikan apih pungsikanmmenjadi penerimndgn uangkanbapabaro dorong malah bikin susah bp kata siapa dannkwnapa di pikir dagang bap jgn ngomong,,negative,
Ugx9aVITk0utr9s5ZEx4AaABAg,agak bingung anda mengatakan fine aja kalo para pengelola dapur bisa nepotisme padahal ini praktek monopoli,bingung kata fine aja kalo kelola dapur nepotisme padahal praktek monopoli,,negative,
Ugwgn8WaF8TNeSnZ0Rx4AaABAg,"Design institusi  struktur MBG  di ciptakan mudah dikorupsi pejabat tinggi <br><br>RRC sangat paham bahaya laten mega korupsi adalah pejabat tinggi dan kroninya , yang daya rusaknya mengahncurkan ideologi dan bangsa , makanya setiap pejabat negara akan dihukum mati dan keluarganya dimiskinkan  demi  bangsa dan kemakmuran rakyat<br><br>Sebentar lagi Indoonesia dianeksasi asing  , lebih cepat jika geng solo menang pemilu 2029",design institusi struktur makan gizi gratis cipta mudah korupsi jabat tinggi rrc sangat paham bahaya laten mega korupsi jabat tinggi kroni daya rusak mengahncurkan ideologi bangsa makanya jabat negara hukum mati keluarga miskin bangsa makmur rakyat sebentar indoonesia aneksasi asing lebih cepat geng solo menang milu,,negative,
Ugw7SnovVchtN3WuJ1l4AaABAg,MBG. DI.  LAPANGAN.  PER BUNGKUS.  RP. 10. 000. .,makan gizi gratis lapang per bungkus rp,,negative,
Ugx9gZoBR6gupCdNr7V4AaABAg,Setuju Prof Gema,tuju prof gema,,negative,
UgxLQhOIwr8B60OFMTd4AaABAg,masalahnya yang lapar bukan siswanya pak tapi mitra atau investornya😂<br>kalau dipangkas penerimanya mereka akan teriak-teriak rugi,masalah lapar bukan siswa pak mitra investor kalau pangkas terima akan teriakteriak rugi,,negative,
UgwXtSgjcJVpXaLhHth4AaABAg,"Siswa dri dulu tdk dapat MBG  juga bisa sekolah walaupun biaya tinggi anak orang tdk mampuhpun bisa sekolah krn bisa bekerja  semua bahan kebutuhan terjangkau,  buat MBG  anggaran besar dar naikan BBM, pajak dll, pada faktanya anggaran dikurupsi berjamaa dan rakyat miskin tambah miskin",siswa dri dulu tdk makan gizi gratis sekolah walaupun biaya tinggi anak orang tdk mampuhpun sekolah krn bisa kerja semua bahan butuh jangkau buat makan gizi gratis anggar besar dar naik bbm pajak pada fakta anggar dikurupsi berjamaa rakyat miskin tambah miskin,,negative,
UgzgfG9jyRvV1GOdFqB4AaABAg,Programnya baik tapi rawan korupsi bosku tangkap semua yg korupsi dari bawah sampai atas,program baik rawan korupsi bos tangkap semua korupsi bawah atas,,negative,
Ugy-z7Suk-BCzTgt_E14AaABAg,Bubar aja MBG  klau mau,bubar aja makan gizi gratis klau mau,,negative,
Ugz3MHA9GTOwH_cUqT54AaABAg,"Dulu ga ada MBG banyak anak2 jadi dokter, insinyur, pengacara, ekonom, hakim, guru, dosen, professor, perawat, bidan, dll. Lebih baik untuk membangun perbaikan jalan, meningkatkan fee guru2 honorer atau paling bagus pendidikan gratis.",dulu ga makan gizi gratis banyak anak jadi dokter insinyur acara ekonom hakim guru dosen professor awat bidan lebih baik bangun baik jalan tingkat fee guru honorer paling bagus didik gratis,,negative,
Ugz6Y-irXWOHUBrD_KB4AaABAg,#############<br><br>268 T<br><br><br>#############<br><br><br>BERAPA PERSEN APBN PENDIDIKAN DIRAMPOK   PROF.   ???????<br><br><br><br>.......,t berapa persen apbn didik rampok prof,,negative,
Ugx2rGP5Mdoz5h0V7qJ4AaABAg,"Yang bikin gemes Rakyat, sudah JELAS JELAS banyak penyelewengan dlam pelaksanaannya dan sudah banyaaaaaakkkk kritikan dan masukan tapiiii Pakbowo terkesan tutup mata dan telinga!!!",bikin gemes rakyat jelas jelas banyak seleweng dlam laksana sudah banyaaaaaakkkk kritik masuk tapiiii pakbowo kes tutup mata telinga,,negative,
UgwFsUMo_9lbB-z-im14AaABAg,"Apapun programnya bagus untuk dikoropsi, Krn org orgnya TDK kompeten di bidangnya.  Uandang undang koropsi ya kurang kuat untuk membuat jera. Mo bilang bagus2...omong kosong",apa program bagus dikoropsi krn org orgnya tdk kompeten bidang uandang undang koropsi kurang kuat buat jera mo bilang bagusomong kosong,,negative,
UgzYRdaWYvDoagbyIll4AaABAg,Yang jelas mental pelaksana hampir tidak baik.,jelas mental laksana hampir baik,,negative,
UgxAEbSKYpuozkCUmLV4AaABAg,Bagikan aja duitnya...masa sih polisi dan TNI jadi tukang masak...dan lagian DPR emang masih butuh uang tambahan...,bagi aja duitnyamasa sih polisi tni jadi tukang masakdan lagi dpr emang butuh uang tambah,,negative,
UgxTaboHRFhi8X7yk6R4AaABAg,Anak pelaut Bugis Makassar mengelilingi samudera Atlantik mencari cinta sejati dan uang polisi punya dapur mbg tentara militer punya dapur mbg Mentri punya dapur mbg anggota dewan DPR punya dapur mbg menikmati mbg makan bergizi berkedok merampok uang keringat konten rakyat Indonesia orang tidak punya kompetensi bisa menduduki jabatan penting dalam kekuasaan presiden Prabowo Subianto para penjilat penjilat kekuasaan presiden Prabowo Subianto punya kepentingan pribadi tidak punya edelisterhadap negara sekadar mencari cuan itukeinannya budaya korupsi menbudayani di Indonesia orang terindikasi terlibat korupsi dalam kekuasaan presiden Prabowo Subianto mau mengejar koruptor sampai ke Antartika omong kosong belaka bbb,anak laut bugis makassar keliling samudera atlantik cari cinta sejati uang polisi punya dapur makan gizi gratis tentara militer punya dapur makan gizi gratis tri punya dapur makan gizi gratis anggota dewan dpr punya dapur makan gizi gratis nikmat makan gizi gratis makan gizi kedok rampok uang keringat konten rakyat indonesia orang punya kompetensi duduk jabat penting kuasa presiden prabowo subianto jilat jilat kuasa presiden prabowo subianto punya penting pribadi punya edelisterhadap negara sekadar cari cuan itukeinannya budaya korupsi menbudayani indonesia orang indikasi libat korupsi kuasa presiden prabowo subianto mau kejar koruptor ke antartika omong kosong belaka bbb,,negative,
Ugx-7po9fV3nYsfKSFh4AaABAg,Tetap di setop aja MBG.,tetap setop aja makan gizi gratis,,negative,
UgyIUnuSfCHddQnGRF54AaABAg,"Program bagus,hukum yg kurupsi",program bagushukum kurupsi,,negative,
UgypmuCHzOcSnGQXaMJ4AaABAg,"MBG memang membuka lapangan pekerjaan. Tapi ingat, MBG juga menutup rezeki penjual makanan di kantin dan sekitar sekolah. ini g membuka lapangan pekerjaan, tapi cuma mengganti lapangan kerja. alasannya jelas, jika kita sudah makan 3 kali sehari. apakah  kita tetap butuh beli makanan dari kantin? ditambah lagi dengan inflasi harga pada jaman sekarang. Maka orang cenderung menghemat, sehingga kantin dan penjual makanan sekitar tidak dapat pemasukan",makan gizi gratis memang buka lapang kerja ingat makan gizi gratis tutup rezeki jual makan kantin sekolah g buka lapang kerja cuma ganti lapang kerja alas jelas kita makan kali hari kita tetap butuh beli makan kantin tambah dengan inflasi harga jaman sekarang orang cenderung hemat kantin jual makan sekitar tidak pasu,,negative,
UgyHt7yByk317WMK0GZ4AaABAg,Kok presiden jd korban ??? Otaknya udh bnr2 mikir ga waktu mau launching mega proyek ini ??? Ini terkesan pembiaran dr awal bro,kok presiden jd korban otak udh bnr mikir ga waktu mau launching mega proyek ini kes biar dr awal bro,,negative,
